Время                                       Абсолютная
1051157                                     13672016
1051219                                     13672016
1051282                                     13672016
1051344                                     13672016
1051407                                     13672016
1051469                                     13672016
1051532                                     13672016
1051594                                     13672016
1051657                                     13672016
1051719                                     13672016
1051782                                     13672016
1051844                                     13672016
1051907                                     13672016
1051969                                     13672016
1052032                                     13672016
1052094                                     13672016
1052157                                     13672016
1052219                                     13672016
1052282                                     13672016
1052344                                     13672016
1052407                                     13672016
1052469                                     13672016
1052532                                     13672016
1052594                                     13672016
1052657                                     13672016
1052719                                     13672016
1052782                                     13672016
1052844                                     13672016
1052907                                     13672016
1052969                                     13672016
1053032                                     13672016
1053094                                     13672016
1053157                                     13672016
1053219                                     13672016
1053282                                     13672016
1053344                                     13672016
1053407                                     13672016
1053469                                     13672016
1053532                                     13672016
1053594                                     13672016
1053657                                     13672016
1053719                                     13672016
1053782                                     13672016
1053844                                     13672016
1053907                                     13672016
1053969                                     13672016
1054032                                     13672016
1054094                                     13672016
1054157                                     13672016
1054219                                     13672016
1054282                                     13672016
1054344                                     13672012
1054407                                     13672001
1054469                                     13672001
1054532                                     13672001
1054594                                     13672001
1054657                                     13672001
1054719                                     13672001
1054782                                     13672001
1054844                                     13672001
1054907                                     13672001
1054969                                     13672001
1055032                                     13672001
1055094                                     13672001
1055157                                     13672001
1055219                                     13672002
1055282                                     13672002
1055344                                     13672002
1055407                                     13672002
1055469                                     13672002
1055532                                     13672002
1055594                                     13672002
1055657                                     13672002
1055719                                     13672002
1055782                                     13672002
1055844                                     13672002
1055907                                     13672002
1055969                                     13672002
1056032                                     13672002
1056094                                     13672002
1056157                                     13672003
1056219                                     13672003
1056282                                     13672003
1056360                                     13672003
1056438                                     13672003
1056500                                     13672003
1056563                                     13672003
1056625                                     13672003
1056688                                     13672003
1056750                                     13672003
1056813                                     13672003
1056875                                     13672003
1056938                                     13672003
1057000                                     13672003
1057063                                     13672003
1057141                                     13672003
1057204                                     13672003
1057250                                     13672003
1057313                                     13672003
1057375                                     13672003
1057438                                     13672003
1057500                                     13672003
1057563                                     13672003
1057625                                     13672003
1057688                                     13672003
1057750                                     13672003
1057813                                     13672003
1057875                                     13672003
1057938                                     13672003
1058000                                     13672003
1058063                                     13672003
1058125                                     13672003
1058188                                     13672003
1058250                                     13672003
1058313                                     13672003
1058375                                     13672003
1058438                                     13672003
1058500                                     13672003
1058563                                     13672003
1058625                                     13672003
1058688                                     13672003
1058750                                     13672003
1058813                                     13672003
1058875                                     13672003
1058938                                     13672003
1059000                                     13672003
1059063                                     13672003
1059125                                     13672003
1059188                                     13672003
1059250                                     13672000
1059313                                     13672000
1059375                                     13671998
1059438                                     13671998
1059500                                     13671998
1059563                                     13671998
1059625                                     13671998
1059688                                     13671998
1059766                                     13671998
1059829                                     13671997
1059891                                     13671997
1059954                                     13671997
1060016                                     13671997
1060079                                     13671997
1060141                                     13671997
1060204                                     13671997
1060282                                     13671997
1060344                                     13671996
1060407                                     13671996
1060469                                     13671996
1060532                                     13671996
1060594                                     13671996
1060657                                     13671996
1060719                                     13671996
1060782                                     13671996
1060844                                     13671996
1060907                                     13671996
1060969                                     13671995
1061032                                     13671995
1061094                                     13671995
1061157                                     13671995
1061219                                     13671995
1061282                                     13671996
1061344                                     13671996
1061407                                     13671996
1061485                                     13671995
1061532                                     13671995
1061594                                     13671995
1061657                                     13671995
1061719                                     13671995
1061782                                     13671996
1061844                                     13671996
1061907                                     13671996
1061969                                     13671996
1062032                                     13671996
1062094                                     13671996
1062157                                     13671995
1062219                                     13671995
1062282                                     13671996
1062344                                     13671996
1062407                                     13671996
1062469                                     13671996
1062532                                     13671996
1062594                                     13671996
1062657                                     13671996
1062719                                     13671996
1062782                                     13671996
1062844                                     13671996
1062907                                     13671996
1062969                                     13671996
1063032                                     13671995
1063094                                     13671995
1063157                                     13671995
1063219                                     13671995
1063282                                     13671995
1063344                                     13671995
1063407                                     13671996
1063469                                     13671996
1063532                                     13671996
1063594                                     13671996
1063657                                     13671996
1063719                                     13671996
1063782                                     13671996
1063844                                     13671995
1063907                                     13671995
1063969                                     13671995
1064032                                     13671996
1064094                                     13671996
1064157                                     13671996
1064219                                     13671996
1064282                                     13671996
1064344                                     13671987
1064407                                     13671980
1064469                                     13671980
1064532                                     13671980
1064594                                     13671980
1064657                                     13671980
1064719                                     13671980
1064782                                     13671980
1064844                                     13671980
1064907                                     13671980
1064969                                     13671981
1065047                                     13671980
1065094                                     13671980
1065157                                     13671981
1065219                                     13671981
1065282                                     13671981
1065344                                     13671981
1065407                                     13671981
1065469                                     13671981
1065532                                     13671981
1065594                                     13671981
1065657                                     13671981
1065719                                     13671981
1065782                                     13671982
1065844                                     13671982
1065907                                     13671982
1065969                                     13671982
1066032                                     13671982
1066094                                     13671982
1066157                                     13671982
1066219                                     13671982
1066282                                     13671982
1066344                                     13671982
1066407                                     13671982
1066469                                     13671982
1066532                                     13671982
1066594                                     13671982
1066657                                     13671982
1066719                                     13671982
1066782                                     13671982
1066844                                     13671982
1066907                                     13671982
1066969                                     13671982
1067032                                     13671982
1067094                                     13671982
1067157                                     13671982
1067219                                     13671982
1067282                                     13671982
1067344                                     13671982
1067407                                     13671982
1067469                                     13671982
1067532                                     13671982
1067594                                     13671982
1067657                                     13671982
1067719                                     13671982
1067782                                     13671982
1067844                                     13671982
1067907                                     13671982
1067969                                     13671982
1068032                                     13671982
1068094                                     13671982
1068157                                     13671982
1068219                                     13671982
1068282                                     13671982
1068344                                     13671982
1068422                                     13671982
1068485                                     13671982
1068547                                     13671982
1068610                                     13671982
1068672                                     13671982
1068735                                     13671982
1068797                                     13671982
1068860                                     13671982
1068922                                     13671982
1068985                                     13671982
1069047                                     13671982
1069110                                     13671982
1069172                                     13671982
1069235                                     13671978
1069297                                     13671978
1069360                                     13671977
1069422                                     13671977
1069485                                     13671976
1069547                                     13671976
1069610                                     13671976
1069672                                     13671976
1069735                                     13671976
1069797                                     13671976
1069860                                     13671976
1069922                                     13671976
1069985                                     13671976
1070047                                     13671976
1070110                                     13671976
1070172                                     13671975
1070235                                     13671975
1070297                                     13671975
1070360                                     13671975
1070422                                     13671975
1070485                                     13671975
1070547                                     13671975
1070610                                     13671975
1070672                                     13671974
1070735                                     13671974
1070797                                     13671974
1070860                                     13671974
1070922                                     13671974
1070985                                     13671974
1071047                                     13671974
1071110                                     13671974
1071172                                     13671974
1071235                                     13671974
1071297                                     13671974
1071360                                     13671974
1071422                                     13671974
1071485                                     13671974
1071547                                     13671974
1071610                                     13671974
1071672                                     13671974
1071735                                     13671974
1071797                                     13671974
1071860                                     13671974
1071922                                     13671974
1071985                                     13671974
1072047                                     13671974
1072110                                     13671974
1072172                                     13671974
1072235                                     13671974
1072297                                     13671974
1072360                                     13671974
1072422                                     13671974
1072485                                     13671974
1072547                                     13671974
1072610                                     13671974
1072672                                     13671974
1072735                                     13671974
1072797                                     13671974
1072860                                     13671974
1072922                                     13671974
1072985                                     13671974
1073047                                     13671974
1073110                                     13671974
1073172                                     13671974
1073235                                     13671974
1073297                                     13671974
1073360                                     13671974
1073422                                     13671974
1073485                                     13671974
1073547                                     13671974
1073610                                     13671974
1073672                                     13671974
1073735                                     13671974
1073797                                     13671974
1073860                                     13671974
1073922                                     13671974
1073985                                     13671974
1074047                                     13671974
1074110                                     13671974
1074172                                     13671974
1074235                                     13671974
1074297                                     13671972
1074360                                     13671972
1074422                                     13671958
1074485                                     13671958
1074547                                     13671958
1074610                                     13671958
1074672                                     13671958
1074735                                     13671958
1074797                                     13671958
1074875                                     13671958
1074938                                     13671958
1075000                                     13671958
1075063                                     13671959
1075125                                     13671959
1075188                                     13671959
1075250                                     13671959
1075329                                     13671959
1075391                                     13671959
1075454                                     13671959
1075516                                     13671959
1075579                                     13671959
1075641                                     13671959
1075704                                     13671959
1075766                                     13671959
1075829                                     13671960
1075891                                     13671960
1075954                                     13671960
1076016                                     13671960
1076079                                     13671960
1076141                                     13671960
1076204                                     13671960
1076266                                     13671960
1076329                                     13671960
1076391                                     13671960
1076454                                     13671960
1076516                                     13671960
1076579                                     13671960
1076641                                     13671960
1076704                                     13671960
1076766                                     13671960
1076829                                     13671960
1076891                                     13671960
1076954                                     13671960
1077016                                     13671960
1077079                                     13671960
1077141                                     13671960
1077204                                     13671960
1077266                                     13671960
1077329                                     13671960
1077391                                     13671960
1077454                                     13671960
1077516                                     13671960
1077579                                     13671960
1077641                                     13671960
1077704                                     13671960
1077766                                     13671960
1077829                                     13671960
1077891                                     13671960
1077954                                     13671960
1078016                                     13671960
1078079                                     13671960
1078157                                     13671960
1078219                                     13671960
1078282                                     13671960
1078344                                     13671960
1078407                                     13671960
1078469                                     13671960
1078532                                     13671960
1078594                                     13671960
1078657                                     13671960
1078719                                     13671960
1078782                                     13671960
1078844                                     13671960
1078907                                     13671960
1078969                                     13671960
1079032                                     13671960
1079094                                     13671960
1079157                                     13671960
1079219                                     13671960
1079282                                     13671957
1079344                                     13671957
1079407                                     13671955
1079469                                     13671955
1079532                                     13671955
1079594                                     13671955
1079657                                     13671955
1079719                                     13671955
1079782                                     13671955
1079844                                     13671955
1079907                                     13671955
1079969                                     13671955
1080032                                     13671955
1080094                                     13671955
1080157                                     13671955
1080219                                     13671954
1080282                                     13671954
1080344                                     13671954
1080407                                     13671954
1080469                                     13671954
1080532                                     13671954
1080594                                     13671954
1080657                                     13671954
1080719                                     13671954
1080782                                     13671954
1080844                                     13671954
1080907                                     13671954
1080969                                     13671953
1081032                                     13671953
1081094                                     13671953
1081157                                     13671953
1081219                                     13671953
1081282                                     13671953
1081360                                     13671953
1081422                                     13671953
1081485                                     13671953
1081547                                     13671953
1081610                                     13671953
1081672                                     13671953
1081735                                     13671953
1081813                                     13671953
1081875                                     13671953
1081938                                     13671953
1082000                                     13671953
1082079                                     13671953
1082125                                     13671953
1082204                                     13671953
1082250                                     13671953
1082313                                     13671953
